hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_mean,precision_std,precision_min,precision_max,recall_mean,recall_std,recall_min,recall_max,f1_mean,f1_std,f1_min,f1_max,N_total
lgbtqqia+,4,0.97,0.016,0.957,0.994,0.907,0.084,0.8,1,0.757,0.207,0.571,1,0.81,0.118,0.696,0.968,58
lower class,5,0.889,0.044,0.818,0.928,0.971,0.064,0.857,1,0.465,0.191,0.143,0.643,0.607,0.21,0.25,0.783,67
men,4,0.952,0.015,0.931,0.963,0.975,0.029,0.944,1,0.731,0.082,0.63,0.815,0.834,0.058,0.756,0.88,108
middle class,5,0.985,0.018,0.957,1,1,0,1,1,0.8,0.245,0.4,1,0.87,0.176,0.571,1,23
middle-aged and pre-retirement age groups,5,0.97,0.008,0.959,0.976,0.04,0.089,0,0.2,0.05,0.112,0,0.25,0.044,0.099,0,0.222,20
minors,5,0.89,0.024,0.87,0.917,0.871,0.02,0.853,0.902,0.866,0.073,0.786,0.957,0.867,0.034,0.84,0.904,349
multiple (or other specific) religious or minority groups,4,0.983,0.003,0.981,0.988,0.25,0.5,0,1,0.083,0.167,0,0.333,0.125,0.25,0,0.5,12
muslims,4,0.984,0.008,0.975,0.994,0.929,0.143,0.714,1,0.714,0.117,0.571,0.857,0.799,0.098,0.714,0.923,28
"offenders, criminals, prisoners and/or accused people",5,0.763,0.082,0.682,0.894,0.924,0.073,0.826,1,0.622,0.124,0.528,0.838,0.74,0.098,0.644,0.899,183
other profession,5,0.931,0.012,0.914,0.944,0.826,0.066,0.714,0.878,0.498,0.109,0.397,0.651,0.617,0.09,0.51,0.726,315
parents and families,5,0.949,0.014,0.928,0.964,0.942,0.037,0.897,1,0.827,0.066,0.737,0.921,0.879,0.036,0.824,0.914,191
patients,5,0.958,0.013,0.95,0.981,1,0,1,1,0.78,0.071,0.737,0.9,0.875,0.043,0.848,0.947,96
"people with an immigration background, including immigrants",4,0.945,0.021,0.919,0.963,0.981,0.024,0.952,1,0.818,0.083,0.727,0.909,0.89,0.047,0.831,0.93,176
politicians and high-ranking officials,5,0.959,0.004,0.955,0.966,0.984,0.005,0.979,0.992,0.928,0.013,0.911,0.945,0.955,0.005,0.949,0.962,1283
prostitutes,5,0.998,0.001,0.996,0.998,0.917,0.118,0.75,1,0.887,0.104,0.8,1,0.891,0.021,0.857,0.909,27
real-estate owner,5,0.823,0.104,0.654,0.923,0.858,0.112,0.667,0.929,0.817,0.08,0.714,0.929,0.836,0.092,0.69,0.929,71
retirees,5,0.985,0.014,0.964,1,0.85,0.224,0.5,1,0.72,0.189,0.5,1,0.764,0.175,0.545,1,21
scientists and professors,5,0.989,0.004,0.982,0.993,0.923,0.107,0.789,1,0.726,0.196,0.412,0.938,0.79,0.116,0.583,0.857,83
security forces,5,0.979,0.003,0.975,0.982,0.908,0.044,0.843,0.95,0.839,0.071,0.745,0.915,0.869,0.023,0.833,0.894,236
self-employed and freelancers,5,0.993,0.009,0.978,1,1,0,1,1,0.75,0.306,0.25,1,0.823,0.247,0.4,1,18
singles,5,0.994,0.007,0.982,1,0.967,0.075,0.833,1,0.84,0.261,0.4,1,0.874,0.177,0.571,1,27
skilled or qualified,5,0.959,0.028,0.928,1,0.96,0.089,0.8,1,0.619,0.256,0.286,1,0.728,0.202,0.444,1,33
soldiers,5,0.986,0.009,0.973,0.995,0.832,0.159,0.6,1,0.662,0.281,0.176,0.875,0.704,0.25,0.286,0.903,82
teachers and educators,5,0.995,0.003,0.993,1,0.962,0.052,0.9,1,0.823,0.107,0.75,1,0.885,0.074,0.818,1,62
tenants,5,0.946,0.044,0.885,1,0.946,0.074,0.857,1,0.878,0.089,0.75,1,0.91,0.076,0.8,1,41
"terrorists, rebels, revolutionaries and/or movements of armed resistance",5,0.885,0.032,0.864,0.94,0.861,0.051,0.8,0.923,0.587,0.128,0.467,0.8,0.693,0.097,0.609,0.857,75
unemployed,5,0.975,0.01,0.964,0.985,0.975,0.056,0.875,1,0.695,0.097,0.6,0.8,0.808,0.075,0.737,0.889,52
unskilled or unqualified,5,0.964,0.02,0.942,0.986,0.933,0.149,0.667,1,0.57,0.315,0.2,0.8,0.648,0.266,0.333,0.889,24
upper class,5,0.92,0.029,0.884,0.955,0.833,0.236,0.5,1,0.396,0.137,0.25,0.571,0.525,0.159,0.4,0.727,38
volunteers,5,0.939,0.018,0.913,0.96,0.978,0.05,0.889,1,0.455,0.203,0.182,0.727,0.594,0.188,0.308,0.8,55
wage and salary earners,5,0.858,0.052,0.79,0.933,0.96,0.018,0.944,0.986,0.813,0.09,0.705,0.955,0.878,0.05,0.81,0.949,438
women,4,0.93,0.013,0.912,0.944,0.962,0.028,0.935,1,0.862,0.035,0.831,0.892,0.909,0.018,0.885,0.928,261
youth,5,0.924,0.009,0.917,0.939,0.913,0.017,0.887,0.933,0.877,0.018,0.855,0.903,0.895,0.014,0.883,0.918,310
