accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail,fold
0.99792817679558,1.0,0.5714285714285714,0.7272727272727273,0.99792817679558,0.99792817679558,0.99792817679558,0.8631164329604537,0.7263104838709677,0.0048342541436464,0.9978189749182116,0.7968460111317253,skilled or qualified,1448,7,2
0.99792817679558,1.0,0.4,0.5714285714285714,0.99792817679558,0.99792817679558,0.99792817679558,0.7851950749147011,0.5705812574139977,0.0034530386740331,0.6950796950796952,0.4316717397652078,unskilled or unqualified,1448,5,2
0.9965469613259668,1.0,0.1666666666666666,0.2857142857142857,0.9965469613259668,0.9965469613259668,0.9965469613259668,0.6419917915245018,0.2848676412485185,0.0041436464088397,0.9361997226074896,0.5308578342558925,upper class,1448,6,2
0.9944713199723566,0.8571428571428571,0.9090909090909092,0.8823529411764706,0.9944713199723566,0.9944713199723566,0.9944713199723566,0.9397610424212148,0.879524592552505,0.022805805114029,0.9986712957009988,0.927259006448632,"capital owners, investors and shareholders",1447,33,3
0.9937802349689012,0.625,0.4545454545454545,0.5263157894736842,0.9937802349689012,0.9937802349689012,0.9937802349689012,0.7615926773455377,0.5232639015997365,0.0076019350380096,0.9832869080779943,0.5609505140061318,lower class,1447,11,3
0.9993089149965446,1.0,0.8,0.8888888888888888,0.9993089149965446,0.9993089149965446,0.9993089149965446,0.9442711342191412,0.8885465608873142,0.0034554250172771,1.0,1.0,middle class,1447,5,3
0.9972356599861782,0.8,0.5714285714285714,0.6666666666666666,0.9972356599861782,0.9972356599861782,0.9972356599861782,0.8326393708073097,0.6653174511391233,0.0048375950241879,0.9975198412698412,0.7976452119309261,skilled or qualified,1447,7,3
0.9986178299930892,1.0,0.6,0.75,0.9986178299930892,0.9986178299930892,0.9986178299930892,0.8746534996534996,0.7493504243893989,0.0034554250172771,0.9897364771151178,0.6492413793103449,unskilled or unqualified,1447,5,3
0.9972356599861782,1.0,0.3333333333333333,0.5,0.9972356599861782,0.9972356599861782,0.9972356599861782,0.7493069993069993,0.4989612188365651,0.0041465100207325,0.986005089058524,0.6236904183723028,upper class,1447,6,3
0.991701244813278,0.8888888888888888,0.7272727272727273,0.8,0.991701244813278,0.991701244813278,0.991701244813278,0.8978813559322034,0.7958059733107392,0.0228215767634854,0.9802912350683052,0.8779394240627353,"capital owners, investors and shareholders",1446,33,4
0.9979253112033196,0.8333333333333334,0.9090909090909092,0.8695652173913043,0.9979253112033196,0.9979253112033196,0.9979253112033196,0.934259778441208,0.8685215493726132,0.0076071922544951,0.9991764333227748,0.9274104683195592,lower class,1446,11,4
0.9972337482710928,0.5,0.25,0.3333333333333333,0.9972337482710928,0.9972337482710928,0.9972337482710928,0.6659736659736659,0.3321016166281755,0.0027662517289073,0.9864771151178918,0.4018301350390902,middle class,1446,4,4
0.9972337482710928,0.8,0.5714285714285714,0.6666666666666666,0.9972337482710928,0.9972337482710928,0.9972337482710928,0.8326388888888889,0.6653165142923273,0.0048409405255878,0.9005261590390151,0.5248436499729157,skilled or qualified,1446,7,4
0.9979253112033196,0.75,0.6,0.6666666666666666,0.9979253112033196,0.9979253112033196,0.9979253112033196,0.8328130419701699,0.6656389702481886,0.0034578146611341,0.989590562109646,0.7272727272727273,unskilled or unqualified,1446,5,4
0.9972337482710928,0.75,0.5,0.6,0.9972337482710928,0.9972337482710928,0.9972337482710928,0.7993060374739764,0.5986677768526228,0.0041493775933609,0.9096064814814816,0.4574808003945606,upper class,1446,6,4
