accuracy,precision_binary,recall_binary,f1_binary,precision_micro,recall_micro,f1_micro,f1_macro,cohen_kappa,prevalence,roc_auc,pr_auc,hypothesis_label,n_pairs,n_pos_entail,fold
0.9979281767955801,0.0,0.0,0.0,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.4994815070860698,0.0,0.0020718232044198894,0.9903114186851211,0.5782828282828283,multiple (or other) religious or minority groups,1448,3,2
0.988950276243094,0.8181818181818182,0.8181818181818182,0.8181818181818182,0.988950276243094,0.988950276243094,0.988950276243094,0.9062419062419063,0.8124838124838125,0.03038674033149171,0.9772403522403522,0.828751522542803,"people with an immigration background, including immigrants",1448,44,2
0.9848066298342542,0.864406779661017,0.7846153846153846,0.8225806451612904,0.9848066298342542,0.9848066298342542,0.9848066298342542,0.9073220686123913,0.8146635482482167,0.04488950276243094,0.9447800211357696,0.8699453118906514,women,1448,65,2
0.9937845303867403,0.375,0.42857142857142855,0.4,0.9937845303867403,0.9937845303867403,0.9937845303867403,0.6984380423464075,0.39689004072565714,0.004834254143646409,0.991672449687717,0.5876517273576096,Christians,1448,7,3
0.9993093922651933,0.75,1.0,0.8571428571428571,0.9993093922651933,0.9993093922651933,0.9993093922651933,0.9283983583049004,0.8568037974683544,0.0020718232044198894,0.9997693194925028,0.9166666666666665,Ethnic and racial minorities,1448,3,3
0.9965469613259669,0.6666666666666666,0.5714285714285714,0.6153846153846154,0.9965469613259669,0.9965469613259669,0.9965469613259669,0.8068251554203687,0.6136606189967984,0.004834254143646409,0.8838108456429067,0.5307682330117227,Jews,1448,7,3
0.9965469613259669,0.7894736842105263,0.9375,0.8571428571428571,0.9965469613259669,0.9965469613259669,0.9965469613259669,0.927697608228891,0.8554082121744688,0.011049723756906077,0.9991270949720671,0.9272033779773718,LGBTQIA+,1448,16,3
0.9965469613259669,0.6,0.8571428571428571,0.7058823529411765,0.9965469613259669,0.9965469613259669,0.9965469613259669,0.8520728194021617,0.7042000326850792,0.004834254143646409,0.9985129374442352,0.7940476190476189,Muslims,1448,7,3
0.9993093922651933,1.0,0.75,0.8571428571428571,0.9993093922651933,0.9993093922651933,0.9993093922651933,0.9283983583049004,0.8568037974683544,0.0027624309392265192,1.0,1.0,cisgender and heterosexuals,1448,4,3
0.9993093922651933,0.8571428571428571,1.0,0.9230769230769231,0.9993093922651933,0.9993093922651933,0.9993093922651933,0.9613650310840738,0.9227321237993596,0.004143646408839779,0.9998844197873324,0.976190476190476,disabled people,1448,6,3
0.9910220994475138,0.7333333333333333,0.8148148148148148,0.7719298245614035,0.9910220994475138,0.9910220994475138,0.9910220994475138,0.8836753737107828,0.7673636857976173,0.018646408839779006,0.9938749446138609,0.8164179328739873,men,1448,27,3
0.9979281767955801,0.0,0.0,0.0,0.9979281767955801,0.9979281767955801,0.9979281767955801,0.4994815070860698,0.0,0.0020718232044198894,0.9829296424452134,0.19270315091210613,multiple (or other) religious or minority groups,1448,3,3
0.9917127071823204,0.9210526315789473,0.7954545454545454,0.8536585365853658,0.9917127071823204,0.9917127071823204,0.9917127071823204,0.924697072130636,0.8494176372712147,0.03038674033149171,0.9783572908572908,0.8966430748145063,"people with an immigration background, including immigrants",1448,44,3
0.9882596685082873,0.8529411764705882,0.8923076923076924,0.8721804511278195,0.9882596685082873,0.9882596685082873,0.9882596685082873,0.9330138592953611,0.8660309996516893,0.04488950276243094,0.9892652539073364,0.9206385024228513,women,1448,65,3
0.9986159169550173,1.0,0.7142857142857143,0.8333333333333334,0.9986159169550173,0.9986159169550173,0.9986159169550173,0.9163192031503359,0.8326577880718008,0.004844290657439446,0.996920325849394,0.863761720904578,Christians,1445,7,4
0.9979238754325259,0.5,0.3333333333333333,0.4,0.9979238754325259,0.9979238754325259,0.9979238754325259,0.6994800693240901,0.39900180230140025,0.0020761245674740486,0.9967637540453074,0.5666666666666667,Ethnic and racial minorities,1445,3,4
0.9993079584775086,0.8571428571428571,1.0,0.9230769230769231,0.9993079584775086,0.9993079584775086,0.9993079584775086,0.9613646693938664,0.9227314047377145,0.004152249134948097,1.0,1.0,Jews,1445,6,4
0.995847750865052,0.7647058823529411,0.8666666666666667,0.8125,0.995847750865052,0.995847750865052,0.995847750865052,0.9052003149055283,0.8104089219330854,0.010380622837370242,0.9982284382284382,0.8961778452490526,LGBTQIA+,1445,15,4
0.9986159169550173,1.0,0.6666666666666666,0.8,0.9986159169550173,0.9986159169550173,0.9986159169550173,0.8996527777777779,0.7993334259130676,0.004152249134948097,0.9931665508454945,0.8211805555555556,Muslims,1445,6,4
