outlet;category;total_N;total_pct;1995_N;1995_pct;1996_N;1996_pct;1997_N;1997_pct;1998_N;1998_pct;1999_N;1999_pct;2000_N;2000_pct;2001_N;2001_pct;2002_N;2002_pct;2003_N;2003_pct;2004_N;2004_pct;2005_N;2005_pct;2006_N;2006_pct;2007_N;2007_pct;2008_N;2008_pct;2009_N;2009_pct;2010_N;2010_pct;2011_N;2011_pct;2012_N;2012_pct;2013_N;2013_pct;2014_N;2014_pct;2015_N;2015_pct;2016_N;2016_pct;2017_N;2017_pct;2018_N;2018_pct;2019_N;2019_pct;2020_N;2020_pct;2021_N;2021_pct;2022_N;2022_pct;2023_N;2023_pct;2024_N;2024_pct;2025_N;2025_pct
leparisien;social_roles_and_behavior;99320;0.6835;;;;;;;;;;;2645.0;0.5362;4049.0;0.5403;4502.0;0.6098;4446.0;0.8027;4504.0;0.8261;4451.0;0.7899;4224.0;0.7724;3144.0;0.7453;5242.0;0.549;3509.0;0.5931;4494.0;0.6795;4451.0;0.6844;4703.0;0.7082;4887.0;0.7381;4659.0;0.683;4783;0.6426;4977.0;0.6722;4915;0.7512;5021;0.85;2814;0.9579;4202;0.5856;3265.0;0.6239;2892.0;0.7032;2541.0;0.6764;;;;
leparisien;socio_economic_position;250125;1.7214;;;;;;;;;;;8090.0;1.64;10904.0;1.4551;11051.0;1.4969;9671.0;1.746;9781.0;1.794;10603.0;1.8816;10124.0;1.8512;7781.0;1.8444;15942.0;1.6695;11474.0;1.9395;11875.0;1.7955;11821.0;1.8177;12135.0;1.8272;11780.0;1.7792;11510.0;1.6872;13228;1.7771;13108.0;1.7704;11290;1.7256;10814;1.8308;5458;1.858;11895;1.6577;8777.0;1.6773;6086.0;1.4799;4927.0;1.3115;;;;
liberation;age_and_family_status;277927;2.1314;;;;;;;9084.0;1.7397;8901.0;1.6474;10047.0;1.7316;8296.0;1.8399;10606.0;1.9505;8683.0;1.6414;8830.0;1.7286;9810.0;1.9635;10725.0;2.2317;9456.0;2.1062;9392.0;2.1083;8399.0;2.0062;9223.0;2.2107;8902.0;1.9536;9599.0;2.0133;11673.0;2.4353;11589.0;2.2642;10822;1.9925;10521.0;2.1454;10044;2.0007;12087;2.431;11846;2.3962;13724;2.7495;15882.0;2.9037;13812.0;2.3628;15974.0;2.7991;;;;
liberation;identities;206729;1.5854;;;;;;;5831.0;1.1167;5820.0;1.0772;6182.0;1.0654;4496.0;0.9971;7488.0;1.3771;6334.0;1.1973;6817.0;1.3345;6775.0;1.356;7295.0;1.518;6909.0;1.5389;5506.0;1.236;5440.0;1.2994;6379.0;1.529;6141.0;1.3477;7860.0;1.6485;8455.0;1.7639;8939.0;1.7465;12676;2.3338;10921.0;2.227;9338;1.8601;9881;1.9873;8926;1.8056;11048;2.2134;10852.0;1.9841;9788.0;1.6744;10632.0;1.863;;;;
liberation;labor_market_position;147965;1.1347;;;;;;;6151.0;1.178;6344.0;1.1741;7027.0;1.2111;5193.0;1.1517;6057.0;1.1139;6264.0;1.1841;5737.0;1.1231;5686.0;1.1381;5026.0;1.0458;4849.0;1.08;4796.0;1.0766;4845.0;1.1573;4847.0;1.1618;4703.0;1.0321;5425.0;1.1378;5628.0;1.1742;5967.0;1.1658;5097;0.9384;5135.0;1.0471;5066;1.0091;5579;1.1221;5737;1.1605;6021;1.2062;6602.0;1.207;6759.0;1.1563;7424.0;1.3009;;;;
liberation;profession;1045878;8.0207;;;;;;;40858.0;7.825;39251.0;7.2646;38787.0;6.6848;29421.0;6.5249;42338.0;7.7863;35318.0;6.6763;36677.0;7.1802;33393.0;6.6837;33758.0;7.0246;37427.0;8.3362;33434.0;7.5051;33566.0;8.0177;34062.0;8.1644;37537.0;8.2377;44628.0;9.3602;41010.0;8.5558;46567.0;9.0982;46959;8.6458;39361.0;8.0265;45845;9.132;37998;7.6424;41367;8.3678;39942;8.002;48319.0;8.8342;56618.0;9.6856;51437.0;9.0133;;;;
liberation;real_estate_ownership;13715;0.1052;;;;;;;488.0;0.0935;511.0;0.0946;656.0;0.1131;413.0;0.0916;548.0;0.1008;463.0;0.0875;515.0;0.1008;606.0;0.1213;438.0;0.0911;488.0;0.1087;485.0;0.1089;398.0;0.0951;506.0;0.1213;407.0;0.0893;460.0;0.0965;500.0;0.1043;638.0;0.1247;574;0.1057;537.0;0.1095;492;0.098;726;0.146;554;0.1121;440;0.0881;419.0;0.0766;699.0;0.1196;754.0;0.1321;;;;
liberation;social_deviance;62535;0.4796;;;;;;;2236.0;0.4282;2363.0;0.4373;2766.0;0.4767;2191.0;0.4859;2745.0;0.5048;2537.0;0.4796;2397.0;0.4693;2139.0;0.4281;2228.0;0.4636;2008.0;0.4472;2026.0;0.4548;2213.0;0.5286;2327.0;0.5578;2386.0;0.5236;2360.0;0.495;3220.0;0.6718;2694.0;0.5264;2994;0.5512;2262.0;0.4613;2166;0.4315;2473;0.4974;2425;0.4905;2028;0.4063;2578.0;0.4713;2303.0;0.394;2470.0;0.4328;;;;
liberation;social_roles_and_behavior;138380;1.0612;;;;;;;3392.0;0.6496;4053.0;0.7501;4075.0;0.7023;3221.0;0.7143;4207.0;0.7737;4335.0;0.8195;4071.0;0.797;3981.0;0.7968;4126.0;0.8586;3794.0;0.8451;3408.0;0.765;3584.0;0.8561;4051.0;0.971;4398.0;0.9652;4858.0;1.0189;5602.0;1.1687;5518.0;1.0781;8010;1.4747;6717.0;1.3697;7250;1.4442;7624;1.5334;8560;1.7315;6880;1.3783;7422.0;1.357;7494.0;1.282;7749.0;1.3579;;;;
liberation;socio_economic_position;161856;1.2413;;;;;;;5601.0;1.0727;6518.0;1.2064;7460.0;1.2857;5166.0;1.1457;5927.0;1.09;5239.0;0.9903;5659.0;1.1079;6020.0;1.2049;5897.0;1.2271;5853.0;1.3037;6149.0;1.3803;5752.0;1.3739;5868.0;1.4065;6160.0;1.3518;6772.0;1.4203;6263.0;1.3066;6754.0;1.3196;6581;1.2116;5758.0;1.1742;6160;1.227;6442;1.2957;6396;1.2938;6279;1.2579;6662.0;1.218;7249.0;1.2401;7271.0;1.2741;;;;
