model,hypothesis_label,folds_count,accuracy_mean,accuracy_std,accuracy_min,accuracy_max,precision_binary_mean,precision_binary_std,precision_binary_min,precision_binary_max,recall_binary_mean,recall_binary_std,recall_binary_min,recall_binary_max,f1_binary_mean,f1_binary_std,f1_binary_min,f1_binary_max,precision_micro_mean,precision_micro_std,precision_micro_min,precision_micro_max,recall_micro_mean,recall_micro_std,recall_micro_min,recall_micro_max,f1_micro_mean,f1_micro_std,f1_micro_min,f1_micro_max,f1_macro_mean,f1_macro_std,f1_macro_min,f1_macro_max,cohen_kappa_mean,cohen_kappa_std,cohen_kappa_min,cohen_kappa_max,prevalence_mean,prevalence_std,prevalence_min,prevalence_max,roc_auc_mean,roc_auc_std,roc_auc_min,roc_auc_max,pr_auc_mean,pr_auc_std,pr_auc_min,pr_auc_max
profession,farmers and fishermen,5,0.995317866,0.002421255,0.992779783,0.998211091,0.937086835,0.072280741,0.823529412,1,0.888571429,0.097450493,0.714285714,0.933333333,0.907151067,0.052520715,0.833333333,0.965517241,0.995317866,0.002421255,0.992779783,0.998211091,0.995317866,0.002421255,0.992779783,0.998211091,0.995317866,0.002421255,0.992779783,0.998211091,0.952374302,0.026855534,0.914821648,0.982299484,0.904772748,0.053672463,0.829748002,0.964600089,0.026265849,0.000889207,0.025270758,0.026978417,0.991278277,0.017604981,0.95978836,0.999387255,0.948369977,0.052667977,0.856343194,0.983333333
profession,health and care professionals,5,0.989916244,0.003304531,0.985559567,0.992818671,0.561904762,0.374044512,0,1,0.442857143,0.269163481,0,0.714285714,0.478241758,0.282109979,0,0.714285714,0.989916244,0.003304531,0.985559567,0.992818671,0.989916244,0.003304531,0.985559567,0.992818671,0.989916244,0.003304531,0.985559567,0.992818671,0.736574061,0.141792582,0.496363636,0.855321364,0.474098806,0.281913868,-0.003168855,0.710642727,0.012232981,0.000774233,0.01084991,0.012635379,0.980060281,0.028275011,0.929742389,0.996635611,0.665582585,0.154588294,0.414035964,0.80952381
profession,journalists,5,0.997118392,0.002414512,0.994584838,1,0.926984127,0.06790238,0.857142857,1,0.883333333,0.162446572,0.666666667,1,0.896470588,0.091280775,0.8,1,0.997118392,0.002414512,0.994584838,1,0.997118392,0.002414512,0.994584838,1,0.997118392,0.002414512,0.994584838,1,0.947504693,0.046251488,0.89862763,1,0.895035271,0.092471283,0.797267626,1,0.014752946,0.000787677,0.01431127,0.016157989,0.961635439,0.083748254,0.811841038,1,0.927481149,0.094049244,0.781818624,1
profession,legal professionals,5,0.99208624,0.003266439,0.987410072,0.996383363,0.858333333,0.149071198,0.666666667,1,0.695555556,0.154879483,0.5,0.9,0.753841042,0.102395785,0.631578947,0.875,0.99208624,0.003266439,0.987410072,0.996383363,0.99208624,0.003266439,0.987410072,0.996383363,0.99208624,0.003266439,0.987410072,0.996383363,0.874909202,0.051976053,0.812587278,0.936582569,0.749946026,0.103854433,0.625192604,0.873194222,0.017630685,0.000760159,0.016274864,0.018050542,0.967182053,0.038768922,0.901465201,0.996119281,0.756844056,0.096829669,0.623960477,0.884656085
profession,other profession,5,0.930172121,0.008054509,0.922800718,0.942754919,0.857439826,0.051912124,0.803921569,0.92,0.473462302,0.113150974,0.359375,0.650793651,0.601024936,0.079102048,0.516853933,0.719298246,0.930172121,0.008054509,0.922800718,0.942754919,0.930172121,0.008054509,0.922800718,0.942754919,0.930172121,0.008054509,0.922800718,0.942754919,0.781367514,0.041554869,0.737451357,0.843712868,0.567051285,0.080072566,0.483514114,0.687818499,0.114070577,0.000972964,0.112701252,0.115107914,0.918345892,0.012946803,0.900851118,0.931003584,0.729112556,0.029843835,0.703551379,0.767706663
profession,politicians and high-ranking officials,5,0.956084716,0.009553779,0.946140036,0.966010733,0.986841017,0.012537823,0.972222222,1,0.91743677,0.022964784,0.894941634,0.953307393,0.95067495,0.011079133,0.939516129,0.962671906,0.956084716,0.009553779,0.946140036,0.966010733,0.956084716,0.009553779,0.946140036,0.966010733,0.956084716,0.009553779,0.946140036,0.966010733,0.955546981,0.009728779,0.94548622,0.96573661,0.911210253,0.019395896,0.89108756,0.931478746,0.462041704,0.001576245,0.459749553,0.463898917,0.99249567,0.002109471,0.989909209,0.994625405,0.992568867,0.002358512,0.988980936,0.994905806
profession,prostitutes,5,0.997837824,0.001507512,0.996389892,1,0.91,0.124498996,0.75,1,0.886666667,0.104349839,0.8,1,0.891024531,0.073552772,0.8,1,0.997837824,0.001507512,0.996389892,1,0.997837824,0.001507512,0.996389892,1,0.997837824,0.001507512,0.996389892,1,0.944966147,0.037138702,0.899089253,1,0.889943604,0.074273412,0.798178506,1,0.009714953,0.000974501,0.008944544,0.010791367,0.969049378,0.061440944,0.859346642,1,0.833039708,0.106075498,0.71,1
profession,scientists and professors,5,0.989557838,0.002982771,0.987341772,0.992844365,0.921731602,0.051845498,0.857142857,1,0.708823529,0.087094339,0.625,0.823529412,0.799468339,0.066628304,0.740740741,0.875,0.989557838,0.002982771,0.987341772,0.992844365,0.989557838,0.002982771,0.987341772,0.992844365,0.989557838,0.002982771,0.987341772,0.992844365,0.89705351,0.034061235,0.867126626,0.935658379,0.794226987,0.068037731,0.734481103,0.871331569,0.029864319,0.000876116,0.028880866,0.03057554,0.985629,0.017644495,0.95503656,0.996979554,0.894704188,0.034368605,0.846424057,0.934794707
profession,security forces,5,0.976987193,0.008717758,0.964028777,0.987341772,0.902263995,0.04283263,0.85,0.954545455,0.819769504,0.069079002,0.708333333,0.893617021,0.858579954,0.055918983,0.772727273,0.923076923,0.976987193,0.008717758,0.964028777,0.987341772,0.976987193,0.008717758,0.964028777,0.987341772,0.976987193,0.008717758,0.964028777,0.987341772,0.923026919,0.030318864,0.876598011,0.958090186,0.846104431,0.060575394,0.753371185,0.916188538,0.0856406,0.000685862,0.084837545,0.086330935,0.985539399,0.009932442,0.970075016,0.996720209,0.926676484,0.032951498,0.884733756,0.970769621
profession,soldiers,5,0.992439438,0.003469159,0.98915009,0.998204668,0.925897436,0.072344508,0.846153846,1,0.79,0.089297023,0.733333333,0.9375,0.850626912,0.069595461,0.785714286,0.967741935,0.992439438,0.003469159,0.98915009,0.998204668,0.992439438,0.003469159,0.98915009,0.998204668,0.992439438,0.003469159,0.98915009,0.998204668,0.923374018,0.035676197,0.890074212,0.983409287,0.846784553,0.071337038,0.780177554,0.966819563,0.027707302,0.000959424,0.026833631,0.028776978,0.976961241,0.025777949,0.940257353,0.99739777,0.904745626,0.031344185,0.857123039,0.940217391
